ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( m/s),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.7662,-0.9529,9.8677,0.0103,-1.0727,9.7478,0.4541,0.0458,-0.0921,40.0,35.22,28.81,15.71,310.89,6.13,0.77,2.0,34.061,-7.760324,110.37554,534.36,NaN,0.0,10.374194,,18 / 36,65,2020-09-27 05:39:18:900
0.7662,-0.9529,9.8677,0.0103,-1.0727,9.7478,0.4541,0.0458,-0.0921,40.0,35.22,28.81,15.71,310.89,6.13,0.77,2.0,34.061,-7.760324,110.37554,534.36,NaN,0.0,10.374194,,18 / 36,76,2020-09-27 05:39:18:911
0.7662,-0.9529,9.8677,0.0103,-1.0727,9.7478,0.4541,0.0458,-0.0921,40.0,35.22,28.81,15.71,310.89,6.13,0.77,2.0,34.061,-7.760324,110.37554,534.36,NaN,0.0,10.374194,,18 / 36,85,2020-09-27 05:39:18:920
0.7662,-0.9529,9.8677,0.0103,-1.0727,9.7478,0.4541,0.0458,-0.0921,40.0,35.22,28.81,15.71,310.89,6.13,0.77,2.0,34.061,-7.760324,110.37554,534.36,NaN,0.0,10.374194,,18 / 36,95,2020-09-27 05:39:18:930
0.7662,-0.9529,9.8677,0.0103,-1.0727,9.7478,0.4541,0.0458,-0.0921,40.0,35.22,28.81,15.71,310.89,6.13,0.77,2.0,34.061,-7.760324,110.37554,534.36,NaN,0.0,10.374194,,18 / 36,105,2020-09-27 05:39:18:940
0.7662,-0.9529,9.8677,0.0103,-1.0727,9.7478,0.4541,0.0458,-0.0921,40.0,35.22,28.81,15.71,310.89,6.13,0.77,2.0,34.061,-7.760324,110.37554,534.36,NaN,0.0,10.374194,,18 / 36,115,2020-09-27 05:39:18:950
0.7662,-0.9529,9.8677,0.0103,-1.0727,9.7478,0.4541,0.0458,-0.0921,40.0,36.48,27.76,12.08,309.01,6.28,-0.06,2.0,34.061,-7.760324,110.37554,534.36,NaN,0.0,10.374194,,18 / 36,125,2020-09-27 05:39:18:960
0.7662,-0.9529,9.8677,0.0103,-1.0727,9.7478,0.4541,0.0458,-0.0921,40.0,36.48,27.76,12.08,309.01,6.28,-0.06,2.0,34.061,-7.760324,110.37554,534.36,NaN,0.0,10.374194,,18 / 36,135,2020-09-27 05:39:18:970
0.7662,-0.9529,9.8677,0.0103,-1.0727,9.7478,0.4541,0.0458,-0.0921,40.0,36.48,27.76,12.08,309.01,6.28,-0.06,2.0,34.061,-7.760324,110.37554,534.36,NaN,0.0,10.374194,,18 / 36,145,2020-09-27 05:39:18:980
0.7662,-0.9529,9.8677,0.0103,-1.0727,9.7478,0.4541,0.0458,-0.0921,40.0,36.48,27.76,12.08,309.01,6.28,-0.06,2.0,34.061,-7.760324,110.37554,534.36,NaN,0.0,10.374194,,18 / 36,154,2020-09-27 05:39:18:989
